<<<<<<< HEAD
date,open,high,low,close,volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr,rsi
2021-06-18 20:00:00,130.18,130.2,130.18,130.2,976.0,976.0,976.0,,,,,,1.116750924928322,1000.0,,0.0,,,,,,0.0,0.0,,130.2133333333333,130.17333333333335,,0.6666666666666666,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,130.19,130.25676666666666,130.25084999999996,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-0.008868645045267964,,0.0,
2021-06-18 19:59:00,130.2,130.2,130.18,130.18,291.0,685.0,685.0,,,,0.0,,-0.13125843647121455,999.846390168971,,0.0,,,,,,0.0,0.0,,130.20999999999998,130.17000000000002,,0.25,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,130.19,130.25676666666666,130.25084999999996,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,-0.015360983102907788,-0.015362163022736297,-0.015360983102907788,
2021-06-18 19:58:00,130.19,130.19,130.19,130.19,1452.0,685.0,2137.0,,,,0.0,,0.06683740981109752,999.846390168971,,0.0,,,,,,0.0,0.0,,130.20333333333332,130.17666666666668,,0.5,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,130.19,130.25676666666666,130.25084999999996,,,,130.18,,1.0,0.0,,,,,,,,,,,,,,,,,0.007681671531711842,0.007681376506507576,-0.007680491551453894,
2021-06-18 19:57:00,130.19,130.19,130.19,130.19,162.0,685.0,2299.0,,,,0.0,,0.11153787064054996,999.846390168971,,0.0,,,,,,0.0,0.0,,130.2,130.18,,0.5,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,130.19,130.25676666666666,130.25084999999996,,,,130.18,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,-0.007680491551453894,
2021-06-18 19:56:00,130.22,130.22,130.2,130.2,690.0,-5.0,2989.0,,,,57.97101449277175,,0.05299946232424706,999.846390168971,,0.0,,,,,,0.0,0.0,,130.20533333333333,130.18133333333333,,0.7777777777775147,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,130.2,130.25676666666666,130.25084999999996,,,,130.18040000000002,,0.0,0.0,,,,,,,,,,,,,,,,,0.007681081496269115,0.0076807865162287214,0.0,
2021-06-18 19:55:00,130.21,130.21,130.21,130.21,613.0,-5.0,3602.0,,,,0.0,,0.10008087553478352,999.9231832864955,,0.0,,,,,,0.0,0.0,,130.2061111111111,130.1861111111111,,1.1944444444446418,1.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,130.2,130.25676666666666,130.25084999999996,,,,130.18198400000003,,0.0,0.0,,,,,,,,,,,,,,,,,0.007680491551464996,0.007680196616899337,0.007680491551464996,
2021-06-18 19:54:00,130.2,130.2,130.2,130.2,710.0,-5.0,2892.0,,,,-0.0,,-0.007445888840102666,999.9231832864955,,0.0,,,,,,0.0,0.0,,130.2052380952381,130.18809523809523,,0.6944444444442602,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,130.2,130.25676666666666,130.25084999999996,,,,130.18350464000002,,0.0,0.0,,,,,,,,,,,,,,,,,-0.0076799016972772804,-0.007680196616899337,0.0,
2021-06-18 19:53:00,130.2,130.2,130.2,130.2,645.0,-5.0,3537.0,,,,0.0,,-0.05452730205063913,999.9231832864955,,0.0,,,,,,0.0,0.0,,130.20458333333332,130.18958333333333,,0.6944444444444444,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,130.2,130.25676666666666,130.25084999999996,,,,130.18496445440002,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
2021-06-18 19:52:00,130.2,130.2,130.2,130.2,911.0,-5.0,4448.0,,,,0.0,,0.0,999.9231832864955,,0.0,,,,,,0.0,0.0,,130.20407407407407,130.19074074074075,,0.6944444444434971,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,130.2,,,130.2,130.25676666666666,130.25084999999996,,,,130.18636587622402,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
2021-06-18 19:51:00,130.2,130.2099,130.19,130.19,616.0,-621.0,3832.0,,,,-0.16152597398548377,,-0.04731182795694622,999.8463842708821,,0.011990000000000122,,,,,,0.0,0.0,130.19733,130.20531999999997,130.18934,0.012273677194443838,0.04130162703449121,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,130.2,,,130.2,130.25676666666666,130.25084999999996,,,,130.18771124117507,,0.0,0.0,,,,,,,,,,,,130.19,,,,,-0.007680491551453894,-0.0076807865162287214,-0.007680491551453894,
